seed	H	W	C
1665	56	81	5
1666	69	66	6
1667	88	49	4
1668	54	87	5
1669	78	57	4
1670	22	42	5
1671	54	97	3
1672	37	36	6
1673	60	51	2
1674	78	75	3
1675	100	77	5
1676	90	53	3
1677	56	69	2
1678	42	61	3
1679	57	28	4
1680	28	79	6
1681	47	58	4
1682	12	81	5
1683	85	68	5
1684	80	88	5
1685	78	77	5
1686	96	87	6
1687	76	76	2
1688	56	49	4
1689	34	77	5
1690	82	71	5
1691	22	37	3
1692	80	89	3
1693	40	99	2
1694	62	41	6
1695	64	38	6
1696	32	33	4
1697	25	48	4
1698	36	30	4
1699	17	34	3
1700	23	18	6
1701	98	61	6
1702	64	47	2
1703	67	44	6
1704	69	18	4
1705	39	60	6
1706	100	73	2
1707	40	92	4
1708	29	50	4
1709	86	63	3
1710	16	14	2
1711	31	92	2
1712	48	49	5
1713	40	99	3
1714	92	85	2
1715	30	66	3
1716	66	34	4
1717	89	46	6
1718	13	62	5
1719	10	49	2
1720	50	53	5
1721	42	62	6
1722	24	40	3
1723	56	50	3
1724	91	36	3
1725	59	46	4
1726	56	13	2
1727	31	46	4
1728	93	50	3
1729	17	86	5
1730	89	94	5
1731	77	50	4
1732	67	78	6
1733	39	66	4
1734	28	99	4
1735	17	30	4
1736	95	52	6
1737	65	36	2
1738	78	38	2
1739	56	73	6
1740	90	19	6
1741	74	97	4
1742	23	18	3
1743	54	23	6
1744	83	76	3
1745	26	79	5
1746	19	54	3
1747	60	85	4
1748	10	35	6
1749	50	49	2
1750	12	48	3
1751	21	98	6
1752	25	90	5
1753	100	88	6
1754	70	43	5
1755	34	19	4
1756	76	83	6
1757	78	91	3
1758	11	64	4
1759	99	14	6
1760	92	46	4
1761	74	93	6
1762	65	76	2
1763	64	55	6
1764	100	60	3
1765	75	100	5
1766	63	96	5
1767	80	84	5
1768	20	44	6
1769	67	72	4
1770	13	12	6
1771	70	52	4
1772	16	58	4
1773	99	12	3
1774	34	14	2
1775	52	93	2
1776	10	28	5
1777	50	62	3
1778	35	72	2
1779	37	10	5
1780	80	93	2
1781	96	73	5
1782	36	67	2
1783	39	72	2
1784	36	35	6
1785	48	61	5
1786	88	60	3
1787	16	24	3
1788	74	77	5
1789	68	18	5
1790	37	30	5
1791	22	29	5
1792	56	72	4
1793	38	61	5
1794	42	69	6
1795	85	82	6
1796	88	45	5
1797	84	37	2
1798	94	90	3
1799	95	32	6
1800	86	34	6
1801	67	26	6
1802	42	46	6
1803	55	72	2
1804	30	50	4
1805	56	59	2
1806	65	54	4
1807	80	88	2
1808	83	94	5
1809	57	60	6
1810	80	14	4
1811	32	73	2
1812	19	48	4
1813	89	66	4
1814	52	27	4
1815	52	81	6
1816	26	63	2
1817	66	44	6
1818	93	12	6
1819	55	42	3
1820	52	60	6
1821	66	56	2
1822	49	20	4
1823	52	41	5
1824	66	98	5
1825	13	24	6
1826	34	25	3
1827	69	40	5
1828	26	53	4
1829	36	35	3
1830	79	24	6
1831	56	51	6
1832	82	53	5
1833	98	44	6
1834	17	76	2
1835	28	62	3
1836	81	16	2
1837	16	52	4
1838	44	92	3
1839	37	30	5
1840	76	43	6
1841	98	67	2
1842	38	11	3
1843	83	18	2
1844	50	43	2
1845	70	54	2
1846	68	76	5
1847	26	83	6
1848	56	47	6
1849	60	97	6
1850	30	55	5
1851	56	14	2
1852	47	72	4
1853	90	26	5
1854	99	98	4
1855	23	36	4
1856	56	57	2
1857	50	70	2
1858	45	74	6
1859	32	53	3
1860	21	52	3
1861	28	39	3
1862	100	86	6
1863	11	14	4
1864	44	17	4
1865	21	36	2
1866	49	80	6
1867	96	93	2
1868	46	52	6
1869	22	64	6
1870	100	82	3
1871	71	18	3
1872	30	73	2
1873	18	75	6
1874	96	51	2
1875	50	51	4
1876	31	92	6
1877	42	97	4
1878	90	76	4
1879	36	51	6
1880	72	21	6
1881	37	30	6
1882	72	77	2
1883	53	14	6
1884	34	67	4
1885	22	17	5
1886	60	76	4
1887	96	28	6
1888	61	86	6
1889	24	38	4
1890	79	64	6
1891	31	72	5
1892	83	66	3
1893	98	95	2
1894	98	54	2
1895	74	33	2
1896	43	74	6
1897	33	60	5
1898	79	76	4
1899	91	78	2
1900	77	100	6
1901	46	40	6
1902	96	77	6
1903	26	86	2
1904	56	94	5
1905	98	53	6
1906	62	96	6
1907	49	94	4
1908	28	64	3
1909	28	22	5
1910	10	25	6
1911	77	58	2
1912	66	53	5
1913	44	99	4
1914	20	79	5
1915	21	24	4
1916	80	84	6
1917	84	61	3
1918	54	71	3
1919	82	37	5
1920	88	54	6
1921	44	91	3
1922	26	53	4
1923	20	67	5
1924	44	54	6
1925	57	64	4
1926	58	31	4
1927	67	56	4
1928	28	50	4
1929	87	78	6
1930	58	89	3
1931	50	69	5
1932	80	10	4
1933	94	25	2
1934	24	13	2
1935	26	55	4
1936	67	88	6
1937	72	31	6
1938	42	61	4
1939	84	23	5
1940	58	10	3
1941	12	60	2
1942	84	77	2
1943	70	17	3
1944	76	42	6
1945	28	26	5
1946	40	76	6
1947	88	27	6
1948	77	60	2
1949	69	80	3
1950	49	18	2
1951	16	59	3
1952	48	100	5
1953	70	92	2
1954	47	58	2
1955	30	91	6
1956	31	10	3
1957	88	39	2
1958	77	16	4
1959	96	61	2
1960	12	55	4
1961	76	51	3
1962	58	15	3
1963	63	76	5
1964	35	86	6
1965	29	80	6
1966	76	21	4
1967	78	72	4
1968	48	19	2
1969	44	32	3
1970	62	36	5
1971	65	82	5
1972	79	46	2
1973	31	76	3
1974	55	80	4
1975	40	62	3
1976	89	52	4
1977	84	16	2
1978	72	11	4
1979	21	70	4
1980	32	92	4
1981	92	11	4
1982	30	27	2
1983	76	83	3
1984	10	85	4
1985	12	21	3
1986	35	88	4
1987	14	15	5
1988	71	46	4
1989	20	49	4
1990	63	94	2
1991	32	76	5
1992	97	52	2
1993	74	41	6
1994	21	14	6
1995	54	58	4
1996	95	48	5
1997	17	42	2
1998	100	26	6
1999	24	34	6
2000	30	24	6
2001	25	76	6
2002	56	78	3
2003	90	97	6
2004	88	57	3
2005	84	52	6
2006	57	82	5
2007	49	72	4
2008	86	69	2
2009	14	31	5
2010	38	26	5
2011	60	87	4
2012	50	62	2
2013	80	43	3
2014	62	68	2
2015	89	64	2
2016	65	36	3
2017	64	93	2
2018	81	74	6
2019	86	28	4
2020	33	10	5
2021	66	42	5
2022	71	62	6
2023	63	84	5
2024	16	70	4
2025	44	40	5
2026	100	70	3
2027	30	43	4
2028	77	56	6
2029	98	38	2
2030	44	29	4
2031	96	36	4
2032	12	28	3
2033	85	16	2
2034	57	36	5
2035	25	10	3
2036	98	58	5
2037	15	22	2
2038	35	64	3
2039	42	32	5
2040	80	61	4
2041	50	51	2
2042	96	83	6
2043	56	64	3
2044	86	49	2
2045	22	30	4
2046	65	96	3
2047	87	98	2
2048	42	94	3
2049	19	100	5
2050	90	74	5
2051	22	19	3
2052	66	97	5
2053	76	85	6
2054	68	88	2
2055	16	47	3
2056	24	11	2
2057	37	18	6
2058	42	66	4
2059	18	57	3
2060	100	51	2
2061	35	60	5
2062	92	23	6
2063	94	44	5
2064	34	18	4
2065	47	56	2
2066	88	48	5
2067	71	30	5
2068	23	34	3
2069	96	81	4
2070	51	44	6
2071	85	86	5
2072	93	22	4
2073	42	87	5
2074	21	24	5
2075	40	69	2
2076	54	36	2
2077	82	71	3
2078	98	89	5
2079	80	84	2
2080	38	51	3
2081	23	16	6
2082	28	79	4
2083	87	28	4
2084	99	36	2
2085	98	70	3
2086	55	76	2
2087	38	89	5
2088	78	87	2
2089	90	81	6
2090	13	88	2
2091	12	74	5
2092	44	31	5
2093	70	77	3
2094	36	11	4
2095	46	24	5
2096	24	99	4
2097	52	22	6
2098	40	18	2
2099	58	46	5
2100	10	43	6
2101	41	100	2
2102	59	48	6
2103	68	28	4
2104	84	71	4
2105	29	48	5
2106	64	42	6
2107	93	96	6
2108	18	23	4
2109	84	54	2
2110	31	94	3
2111	28	69	3
2112	12	40	6
2113	78	68	6
2114	22	38	2
2115	72	32	4
2116	32	73	3
2117	21	28	3
2118	16	70	2
2119	83	76	3
2120	86	83	6
2121	94	46	3
2122	54	62	6
2123	59	94	6
2124	28	61	2
2125	29	96	3
2126	59	68	5
2127	24	82	5
2128	44	62	4
2129	63	94	4
2130	74	35	2
2131	15	24	2
2132	45	18	5
2133	18	27	3
2134	34	96	6
2135	55	100	2
2136	59	50	4
2137	51	50	6
2138	95	78	2
2139	96	54	2
2140	28	66	2
2141	89	60	3
2142	85	98	5
2143	16	44	2
2144	36	13	5
2145	58	16	3
2146	56	73	5
2147	38	74	3
2148	55	92	2
2149	54	49	4
2150	62	13	5
2151	55	64	6
2152	66	16	6
2153	95	74	3
2154	35	62	2
2155	84	34	4
2156	46	69	2
2157	40	53	3
2158	42	19	3
2159	23	54	3
2160	66	24	6
2161	16	15	6
2162	62	75	4
2163	74	13	6
2164	41	50	3
2165	53	82	5
2166	24	15	4
2167	55	52	2
2168	42	47	3
2169	69	24	3
2170	54	48	6
2171	63	20	2
2172	97	86	2
2173	22	78	2
2174	12	98	3
2175	86	97	3
2176	86	63	5
2177	48	79	2
2178	35	60	6
2179	67	36	2
2180	45	58	2
2181	95	74	5
2182	52	40	2
2183	38	90	5
2184	34	53	2
2185	92	29	4
2186	77	18	3
2187	95	34	3
2188	54	11	6
2189	92	58	3
2190	56	88	3
2191	66	61	5
2192	100	35	6
2193	98	65	3
2194	69	82	2
2195	52	94	3
2196	81	94	2
2197	88	58	3
2198	44	34	4
2199	85	14	5
2200	49	46	2
2201	56	35	2
2202	56	95	4
2203	34	61	4
2204	96	13	3
2205	29	50	5
2206	66	51	4
2207	92	39	2
2208	68	51	4
2209	37	56	6
2210	61	72	5
2211	68	61	3
2212	46	73	6
2213	92	61	4
2214	71	98	3
2215	76	16	3
2216	62	99	6
2217	10	37	6
2218	87	80	4
2219	72	69	5
2220	35	20	3
2221	80	34	6
2222	78	46	6
2223	34	31	2
2224	13	62	4
2225	85	80	2
2226	59	60	3
2227	43	26	3
2228	63	34	5
2229	97	30	6
2230	37	68	4
2231	67	56	3
2232	38	44	2
2233	44	17	6
2234	73	12	2
2235	59	56	2
2236	22	89	6
2237	47	60	4
2238	51	86	4
2239	59	50	6
2240	92	51	6
2241	45	44	5
2242	16	43	4
2243	66	67	6
2244	88	41	3
2245	40	47	6
2246	46	73	2
2247	72	61	4
2248	51	46	2
2249	80	89	5
2250	89	58	4
2251	82	43	3
2252	47	26	5
2253	82	81	2
2254	83	78	4
2255	25	62	5
2256	35	92	5
2257	30	57	4
2258	99	40	6
2259	95	100	2
2260	98	25	4
2261	90	33	5
2262	21	36	6
2263	48	77	6
2264	27	50	3
2265	66	95	6
2266	42	70	4
2267	10	95	2
2268	71	16	4
2269	28	19	3
2270	42	70	5
2271	100	73	5
2272	45	90	5
2273	80	89	4
2274	30	45	2
2275	64	15	3
2276	72	65	6
2277	69	62	2
2278	18	42	2
2279	70	98	6
2280	66	88	5
2281	91	58	2
2282	20	78	5
2283	47	64	6
2284	56	34	5
2285	66	20	2
2286	84	75	2
2287	51	34	5
2288	48	99	6
2289	56	34	6
2290	84	75	2
2291	74	92	4
2292	84	95	3
2293	99	90	5
2294	84	16	5
2295	78	74	4
2296	44	47	5
2297	84	54	4
2298	53	98	3
2299	80	91	4
2300	14	71	5
2301	27	56	2
2302	93	88	4
2303	13	34	6
2304	25	36	6
2305	91	94	3
2306	88	50	2
2307	31	76	3
2308	88	45	3
2309	30	82	5
2310	19	22	4
2311	76	18	4
2312	52	27	2
2313	22	81	6
2314	81	42	6
2315	33	16	5
2316	45	50	3
2317	96	15	6
2318	17	94	4
2319	67	12	5
2320	78	57	2
2321	46	99	5
2322	68	84	5
2323	93	62	4
2324	18	13	2
2325	61	56	6
2326	54	96	5
2327	88	39	2
2328	18	46	4
2329	74	49	4
2330	26	31	2
2331	100	19	5
2332	90	79	4
2333	14	79	2
2334	51	50	2
2335	65	44	2
2336	17	58	6
2337	83	90	3
2338	50	22	5
2339	100	65	2
2340	15	86	5
2341	74	74	5
2342	81	30	6
2343	83	74	4
2344	26	98	3
2345	78	33	6
2346	51	60	6
2347	20	42	3
2348	74	39	6
2349	55	98	6
2350	66	43	2
2351	34	57	2
2352	64	91	5
2353	90	62	3
2354	52	18	5
2355	22	97	3
2356	72	100	6
2357	50	61	4
2358	65	58	2
2359	44	60	2
2360	80	41	3
2361	16	43	6
2362	38	30	3
2363	69	10	3
2364	13	56	6
2365	38	63	3
2366	38	24	3
2367	92	84	2
2368	100	93	4
2369	30	67	6
2370	94	20	6
2371	20	64	4
2372	71	96	6
2373	83	48	4
2374	46	81	3
2375	84	53	6
2376	14	67	2
2377	92	25	2
2378	86	36	4
2379	79	64	4
2380	63	56	3
2381	63	28	5
2382	71	18	3
2383	94	97	4
2384	10	11	3
2385	75	42	6
2386	10	36	5
2387	78	21	3
2388	18	81	5
2389	30	63	2
2390	20	40	3
2391	13	100	5
2392	56	38	2
2393	94	53	5
2394	15	78	2
2395	94	38	6
2396	17	10	6
2397	42	30	3
2398	88	21	4
2399	94	98	5
2400	16	15	3
2401	80	97	2
2402	68	33	6
2403	33	92	2
2404	72	39	2
2405	100	87	6
2406	28	53	6
2407	75	82	6
2408	67	24	4
2409	60	98	5
2410	50	44	3
2411	67	86	3
2412	68	12	5
2413	49	22	2
2414	48	43	4
2415	86	84	4
2416	61	36	2
2417	50	88	5
2418	81	96	5
2419	82	12	5
2420	100	71	4
2421	68	42	3
2422	71	18	5
2423	12	96	2
2424	85	98	6
2425	44	92	4
2426	56	71	5
2427	81	14	5
2428	66	19	4
2429	10	46	5
2430	65	52	2
2431	76	24	3
2432	50	11	5
2433	44	29	2
2434	60	13	2
2435	92	82	2
2436	29	54	6
2437	33	86	3
2438	19	70	2
2439	71	94	2
2440	32	85	2
2441	36	47	5
2442	91	80	4
2443	14	65	6
2444	18	66	2
2445	82	99	2
2446	21	20	5
2447	12	65	2
2448	33	56	5
2449	78	51	6
2450	10	19	4
2451	99	52	6
2452	62	82	4
2453	85	44	3
2454	72	19	5
2455	90	69	4
2456	98	66	2
2457	65	92	4
2458	21	18	4
2459	43	36	2
2460	54	57	4
2461	47	56	6
2462	50	21	4
2463	81	90	4
2464	76	44	4
2465	35	50	6
2466	23	18	6
2467	36	18	4
2468	36	59	3
2469	76	21	5
2470	36	79	6
2471	50	47	3
2472	50	71	3
2473	68	99	5
2474	16	61	3
2475	26	84	3
2476	75	74	6
2477	81	60	4
2478	84	73	4
2479	33	40	4
2480	55	94	3
2481	18	65	3
2482	88	21	6
2483	50	35	4
2484	41	46	2
2485	49	14	6
2486	75	72	5
2487	94	11	2
2488	41	26	3
2489	38	19	6
2490	28	85	5
2491	84	84	2
2492	82	35	2
2493	44	56	6
2494	23	46	2
2495	44	73	3
2496	82	32	3
2497	97	72	3
2498	80	75	6
2499	46	41	4
2500	86	93	3
2501	28	71	4
2502	62	99	3
2503	70	29	2
2504	26	29	3
2505	10	76	6
2506	80	96	3
2507	66	35	6
2508	63	32	6
2509	33	64	4
2510	24	49	2
2511	80	54	4
2512	12	63	2
2513	56	56	5
2514	60	56	5
2515	36	18	4
2516	25	60	3
2517	63	30	6
2518	92	48	4
2519	60	96	6
2520	97	26	5
2521	56	41	2
2522	97	86	5
2523	52	69	4
2524	63	52	6
2525	96	33	3
2526	42	82	4
2527	96	79	2
2528	98	57	4
2529	20	16	5
2530	38	80	5
2531	10	65	2
2532	20	67	6
2533	74	54	6
2534	43	42	3
2535	98	61	2
2536	32	67	2
2537	76	14	2
2538	88	29	5
2539	64	31	5
2540	52	34	4
2541	74	83	6
2542	58	72	2
2543	87	78	6
2544	26	92	6
2545	84	35	6
2546	70	22	2
2547	52	69	2
2548	51	88	2
2549	74	42	3
2550	94	94	4
2551	34	23	4
2552	52	45	3
2553	92	45	6
2554	19	32	6
2555	48	35	5
2556	54	19	3
2557	82	54	2
2558	37	84	3
2559	36	32	6
2560	67	22	2
2561	80	19	5
2562	59	46	5
2563	78	44	5
2564	98	25	3
2565	29	88	3
2566	29	34	2
2567	34	91	4
2568	50	42	5
2569	98	86	3
2570	36	43	2
2571	63	84	3
2572	18	54	2
2573	78	99	3
2574	75	30	5
2575	64	91	3
2576	58	31	5
2577	20	66	5
2578	29	70	5
2579	99	54	4
2580	36	43	6
2581	18	92	2
2582	57	20	3
2583	86	35	4
2584	86	31	6
2585	78	42	4
2586	49	30	2
2587	82	26	2
2588	81	16	5
2589	11	18	4
2590	12	41	2
2591	68	36	4
2592	19	26	6
2593	50	49	2
2594	20	88	3
2595	24	61	3
2596	93	52	6
2597	23	48	6
2598	24	57	4
2599	55	38	6
2600	77	70	4
2601	91	68	6
2602	21	46	2
2603	33	16	6
2604	32	77	3
2605	68	27	2
2606	66	87	2
2607	11	86	3
2608	43	56	2
2609	85	80	5
2610	59	90	2
2611	78	47	4
2612	64	87	4
2613	62	14	4
2614	65	44	3
2615	98	29	3
2616	48	52	6
2617	14	66	6
2618	45	20	4
2619	29	36	6
2620	58	93	4
2621	66	40	6
2622	62	85	4
2623	25	98	3
2624	63	52	6
2625	51	40	5
2626	84	17	4
2627	72	27	3
2628	28	29	2
2629	21	26	5
2630	17	12	4
2631	28	83	6
2632	36	34	4
2633	94	72	6
2634	69	34	3
2635	52	19	6
2636	46	83	5
2637	29	12	3
2638	32	42	3
2639	86	40	2
2640	92	64	6
2641	62	82	3
2642	50	85	2
2643	98	31	5
2644	45	82	6
2645	69	52	2
2646	17	38	6
2647	54	82	5
2648	52	81	2
2649	100	29	4
2650	89	32	4
2651	30	36	5
2652	37	58	3
2653	62	81	6
2654	50	56	3
2655	39	82	4
2656	73	62	3
2657	30	15	2
2658	93	64	2
2659	61	60	4
2660	80	95	2
2661	28	91	4
2662	23	16	6
2663	56	92	4
2664	82	31	2
2665	49	94	5
2666	20	27	4
2667	90	79	2
2668	81	20	2
2669	76	90	3
2670	92	69	4
2671	84	66	6
2672	91	14	2
2673	11	12	3
2674	62	39	2
2675	39	70	4
2676	35	10	4
2677	28	93	2
2678	96	67	2
2679	90	83	4
2680	100	43	4
2681	53	12	3
2682	74	42	5
2683	36	21	2
2684	28	70	3
2685	54	46	4
2686	30	21	2
2687	93	12	4
2688	75	40	5
2689	52	69	5
2690	18	95	4
2691	33	56	3
2692	28	25	6
2693	10	47	6
2694	60	85	4
2695	50	13	5
2696	13	20	6
2697	28	90	2
2698	28	64	4
2699	61	68	3
2700	56	76	2
2701	50	29	5
2702	68	70	4
2703	92	70	4
2704	78	70	3
2705	18	98	2
2706	18	94	2
2707	73	68	3
2708	24	17	6
2709	48	55	5
2710	11	72	3
2711	20	32	6
2712	42	88	5
2713	60	74	3
2714	34	11	4
2715	81	64	4
2716	99	42	3
2717	94	30	4
2718	64	75	6
2719	90	83	3
2720	42	36	3
2721	60	89	5
2722	30	48	2
2723	50	31	2
2724	27	72	6
2725	40	20	6
2726	91	58	3
2727	19	16	5
2728	67	98	3
2729	68	72	4
2730	80	82	6
2731	62	75	6
2732	19	80	2
2733	32	11	6
2734	34	58	5
2735	62	12	6
2736	10	55	4
2737	74	39	2
2738	88	52	5
2739	50	23	5
2740	45	56	5
2741	58	78	3
2742	100	37	2
2743	99	42	4
2744	75	74	5
2745	40	30	3
2746	38	97	2
2747	18	97	4
2748	54	76	6
2749	47	50	5
2750	43	100	2
2751	32	38	3
2752	98	30	2
2753	47	18	4
2754	62	100	2
2755	76	68	5
2756	50	11	2
2757	68	25	2
2758	34	56	3
2759	11	52	3
2760	47	74	3
2761	64	75	5
2762	30	18	2
2763	88	59	5
2764	49	82	5
2765	81	70	2
2766	47	16	6
2767	48	54	2
2768	14	61	6
2769	15	94	2
2770	37	24	4
2771	90	93	6
2772	100	86	3
2773	47	86	5
2774	70	47	5
2775	82	61	6
2776	23	68	3
2777	96	62	5
2778	34	60	3
2779	31	58	5
2780	44	97	6
2781	56	14	6
2782	58	67	3
2783	46	17	3
2784	88	77	3
2785	52	56	4
2786	10	94	4
2787	42	89	3
2788	58	28	6
2789	61	12	6
2790	93	28	6
2791	60	58	6
2792	58	27	4
2793	70	30	6
2794	84	39	5
2795	39	98	5
2796	64	71	3
2797	60	70	3
2798	48	83	2
2799	51	88	6
2800	68	10	2
2801	11	74	5
2802	15	76	2
2803	98	86	5
2804	88	38	5
2805	86	83	5
2806	67	30	4
2807	87	72	6
2808	12	52	3
2809	56	15	2
2810	30	64	3
2811	80	13	6
2812	63	84	5
2813	45	54	4
2814	42	56	6
2815	24	31	4
2816	74	33	6
2817	82	65	4
2818	76	62	3
2819	20	75	3
2820	14	41	6
2821	69	64	3
2822	84	14	3
2823	21	58	6
2824	84	37	5
2825	81	10	6
2826	12	25	6
2827	36	81	2
2828	15	68	2
2829	82	75	5
2830	44	98	3
2831	50	16	3
2832	43	62	3
2833	38	64	3
2834	81	60	6
2835	15	86	2
2836	80	57	5
2837	28	88	5
2838	67	50	6
2839	83	36	3
2840	29	64	4
2841	83	12	4
2842	26	72	3
2843	48	16	3
2844	36	75	6
2845	81	58	3
2846	90	63	6
2847	70	86	5
2848	66	11	5
2849	51	94	3
2850	25	64	5
2851	22	99	4
2852	70	32	6
2853	81	36	2
2854	85	30	4
2855	37	10	5
2856	82	78	3
2857	92	97	3
2858	75	52	6
2859	41	90	3
2860	90	49	4
2861	38	11	2
2862	60	30	2
2863	42	45	2
2864	63	20	3
2865	41	78	3
2866	25	74	5
2867	64	32	4
2868	22	65	3
2869	50	67	5
2870	68	81	6
2871	52	68	4
2872	90	30	5
2873	82	56	2
2874	40	87	4
2875	73	88	2
2876	52	81	2
2877	25	24	4
2878	92	98	3
2879	75	94	3
2880	71	14	6
2881	14	41	3
2882	20	32	5
2883	79	72	5
2884	80	19	5
2885	48	14	2
2886	43	66	6
2887	52	30	3
2888	89	52	4
2889	20	86	2
2890	38	11	4
2891	67	94	2
2892	50	54	6
2893	74	60	5
2894	84	48	3
2895	30	53	3
2896	48	39	6
2897	49	70	2
2898	38	85	6
2899	88	34	6
2900	54	17	4
2901	21	42	3
2902	78	85	6
2903	77	86	3
2904	56	33	4
2905	59	16	4
2906	58	71	2
2907	12	89	2
2908	36	95	2
2909	11	100	3
2910	71	82	6
2911	51	26	2
2912	98	64	6
2913	42	45	4
2914	87	92	2
2915	43	56	4
2916	30	13	5
2917	80	53	4
2918	56	54	5
2919	31	36	4
2920	56	30	4
2921	98	56	2
2922	99	58	3
2923	21	84	3
2924	88	83	5
2925	10	25	5
2926	22	41	4
2927	88	79	4
2928	66	47	3
2929	53	44	4
2930	40	91	5
2931	85	32	4
2932	68	63	6
2933	52	44	5
2934	65	30	5
2935	28	11	4
2936	50	66	2
2937	18	23	6
2938	26	95	3
2939	85	84	2
2940	67	30	4
2941	29	100	6
2942	85	36	4
2943	46	15	4
2944	37	10	3
2945	26	60	6
2946	20	50	4
2947	88	43	4
2948	17	46	2
2949	100	50	2
2950	48	20	6
2951	57	34	4
2952	60	60	4
2953	11	16	5
2954	54	68	2
2955	70	97	5
2956	90	59	4
2957	82	82	5
2958	50	89	6
2959	76	67	5
2960	42	11	4
2961	31	74	4
2962	83	80	5
2963	98	72	3
2964	76	74	5
2965	21	62	5
2966	68	41	5
2967	40	11	5
2968	66	25	3
2969	99	28	5
2970	40	68	3
2971	66	19	3
2972	70	79	4
2973	84	34	2
2974	26	22	3
2975	26	91	2
2976	79	98	3
2977	73	18	3
2978	98	33	2
2979	92	64	5
2980	66	15	6
2981	45	86	3
2982	48	52	5
2983	34	81	3
2984	99	20	2
2985	92	74	2
2986	46	35	3
2987	77	26	5
2988	67	22	3
2989	53	78	5
2990	58	79	6
2991	16	89	5
2992	96	76	2
2993	52	75	3
2994	27	40	6
2995	16	40	2
2996	98	74	4
2997	92	15	6
2998	16	24	5
2999	58	16	2
3000	42	75	4
3001	78	37	5
3002	16	29	5
3003	76	90	4
3004	21	28	4
3005	47	34	2
3006	93	54	4
3007	96	91	2
3008	52	50	3
3009	70	95	4
3010	43	32	6
3011	85	92	6
3012	18	39	2
3013	87	90	4
3014	86	58	2
3015	25	96	4
3016	36	27	4
3017	44	96	4
3018	22	51	5
3019	23	80	4
3020	43	78	3
3021	82	70	4
3022	41	44	5
3023	68	79	4
3024	12	33	2
3025	58	45	4
3026	55	28	3
3027	36	60	3
3028	37	24	3
3029	37	56	3
3030	36	55	3
3031	47	98	6
3032	56	35	3
3033	59	44	2
3034	60	40	2
3035	64	95	6
3036	82	62	4
3037	24	96	2
3038	52	57	2
3039	80	96	6
3040	36	74	5
3041	46	20	4
3042	62	61	3
3043	48	81	2
3044	47	50	3
3045	75	28	2
3046	93	96	3
3047	99	76	5
3048	10	32	3
3049	41	78	6
3050	90	100	4
3051	30	88	2
3052	52	67	3
3053	66	67	6
3054	52	38	4
3055	64	26	2
3056	28	69	2
3057	46	24	2
3058	74	81	5
3059	95	90	4
3060	30	36	4
3061	66	37	3
3062	30	57	3
3063	55	100	6
3064	83	94	2
3065	71	88	5
3066	28	26	2
3067	94	35	2
3068	16	23	5
3069	40	44	5
3070	16	45	2
3071	83	12	4
3072	51	86	5
3073	76	62	2
3074	79	26	5
3075	82	35	4
3076	51	86	3
3077	15	16	6
3078	28	50	4
3079	66	60	5
3080	31	100	5
3081	15	92	6
3082	69	58	3
3083	47	68	3
3084	97	86	5
3085	22	24	6
3086	82	71	2
3087	97	58	6
3088	100	81	4
3089	26	76	4
3090	26	59	6
3091	68	37	5
3092	68	69	6
3093	20	16	2
3094	67	58	4
3095	59	50	4
3096	35	48	5
3097	89	64	2
3098	60	72	3
3099	81	36	4
3100	20	13	6
3101	12	41	5
3102	80	35	4
3103	67	66	5
3104	28	98	4
3105	64	98	5
3106	92	32	2
3107	20	29	3
3108	84	93	6
3109	66	70	3
3110	100	31	3
3111	71	24	2
3112	50	47	3
3113	31	24	3
3114	20	83	5
3115	88	33	5
3116	36	78	2
3117	20	51	2
3118	35	78	5
3119	87	88	5
3120	55	76	4
3121	16	59	3
3122	99	24	3
3123	96	29	4
3124	96	30	5
3125	94	33	4
3126	47	94	6
3127	11	74	4
3128	27	96	2
3129	91	72	4
3130	42	13	4
3131	25	50	6
3132	52	46	4
3133	64	41	4
3134	98	22	5
3135	61	78	2
3136	19	86	5
3137	51	80	3
3138	19	38	2
3139	64	64	3
3140	28	59	2
3141	47	74	4
3142	98	77	6
3143	40	93	3
3144	93	90	3
3145	26	71	5
3146	89	28	5
3147	97	98	4
3148	75	64	2
3149	61	94	5
3150	42	67	6
3151	57	80	4
3152	61	76	3
3153	11	60	5
3154	79	14	4
3155	21	66	3
3156	28	48	2
3157	60	20	5
3158	72	59	5
3159	80	77	3
3160	78	40	6
3161	81	44	4
3162	26	76	3
3163	76	85	4
3164	44	67	3
3165	31	34	4
3166	96	11	6
3167	92	18	6
3168	48	59	5
3169	30	45	6
3170	43	40	5
3171	96	24	2
3172	24	63	5
3173	24	86	6
3174	41	64	3
3175	99	92	4
3176	83	48	6
3177	41	12	5
3178	64	92	2
3179	18	91	5
3180	47	40	3
3181	77	12	2
3182	100	36	5
3183	60	23	2
3184	52	69	2
3185	84	61	4
3186	52	21	5
3187	100	51	4
3188	96	95	6
3189	62	87	2
3190	61	30	3
3191	31	24	5
3192	93	66	4
3193	34	45	4
3194	47	52	4
3195	90	89	5
3196	51	94	3
3197	35	54	2
3198	74	77	3
3199	84	75	6
3200	77	12	5
3201	24	72	3
3202	46	100	3
3203	54	10	3
3204	85	94	3
3205	92	45	2
3206	86	100	5
3207	100	85	3
3208	14	43	2
3209	83	56	4
3210	40	76	5
3211	32	80	4
3212	30	35	4
3213	78	26	4
3214	95	18	2
3215	98	52	5
3216	94	55	2
3217	34	65	5
3218	79	22	4
